ID,DISCIPLINAS,PROFESSORES,QUANT,SOLICITAR
1,AQUISIÇÕES NA ADMINISTRAÇÃO PÚBLICA E GAF,ALECIANE ROBERTA DE OLIVEIRA,2,4
2,ATENDIMENTO PRÉ-HOSPITALAR EM COMBATE - MARC 1,SERGIO FABRICIO MANIGLIA,3,6
3,"ATIVIDADES DE INTELIGÊNCIA, CONTRAINTELIGÊNCIA, FERRAMENTAS E OPERAÇÕES DE INTELIGÊNCIA",LUIZ RAFAEL JUNTA FERRO,5,10
4,ATOS NORMATIVOS,THIAGO NOBREGA DE ALMEIDA,2,4
5,CIÊNCIA PAPILOSCÓPICA - NOÇÕES GERAIS,CARLOS EDUARDO DE ARRUDA SILVEIRA,2,4
6,CIÊNCIAS FORENSES: NOÇÕES BÁSICAS EM PERÍCIA,IRNO FRANCISCO AZZOLINI,5,10
7,DEVERES DO SERVIDOR POLICIAL CIVIL - CÓDIGO DISCIPLINAR E PAD,ALEXANDRE RORATO,4,8
8,ELEMENTOS DE DIREITO CONSTITUCIONAL E ADMINISTRATIVO NA ATIVIDADE POLICIAL,LUIS GUSTAVO DE SOUZA TIMOSSI,2,4
9,ELEMENTOS DE DIREITO PENAL E PROCESSUAL PENAL APLICADO À ATIVIDADE POLICIAL,SILAS ROQUE DOS SANTOS,2,4
10,ESTRUTURA ORGANIZACIONAL DA PCPR,RAFAEL BACELAR DE SOUZA,2,4
11,FISCALIZAÇÃO E GESTÃO DE CONTRATOS NA PCPR,RAFAEL BACELAR DE SOUZA,2,4
12,HISTÓRIA DA PCPR,ELTER TAETS GARCIA,1,2
13,HISTÓRIA DO PARANÁ,,1,2
14,"LEI DE ABUSO DE AUTORIDADE E VIOLÊNCIA ESTRUTURAL, INSTITUCIONAL, INTERPESSOAL",RODRIGO OLIVEIRA SIQUEIRA,1,2
15,LEI ORGANICA DA POLÍCIA CIVIL,RENAN BARBOSA LOPES FERREIRA,2,4
16,MEDIDAS CAUTELARES NO INQUÉRITO POLICIAL,THIAGO ANDRADE DOS SANTOS,3,6
17,NOÇÕES BÁSICAS DE APREENSÃO E EXTRAÇÃO DE DISPOSITIVOS MÓVEIS,PAULO MURILO DIAZ BORGES,2,4
18,NOÇÕES DE EXTRAÇÃO DE DADOS - DVR,ADRIANO PEREIRA ADURA,2,4
19,NOÇÕES DE UTILIZAÇÃO DO I2 PARA INVESTIGAÇÃO POLICIAL,PAULO MURILO DIAZ BORGES,3,6
20,"NOÇÕES GERAIS EM PROCEDIMENTOS INVESTIGATÓRIOS POLICIAIS: IP, TCIP, AFAI, BOC.",SILAS ROQUE DOS SANTOS,3,6
21,PLANEJAMENTO E GESTÃO DE UNIDADE POLICIAL,DANIELA CORRÊA ANTUNES ANDRADE,2,4
22,TÉCNICAS DE COLETA E PRESERVAÇÃO DE EVIDÊNCIAS - CADEIA DE CUSTÓDIA,MARIANE MOREIRA POLETTO,3,6
23,TÉCNICAS DE ELABORAÇÃO DE RELATÓRIOS DE INVESTIGAÇÃO POLICIAL,ROSANA CLAUDIA BOTELHO,3,6
24,TÉCNICAS DE ENTREVISTA,GIORGLLI PAIN,2,4
25,TÉCNICAS DE ESCUTA ESPECIALIZADA E DEPOIMENTO ESPECIAL,GERSON FAUSTINO ROSA,1,2
26,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO A ATOS INFRACIONAIS - DA,ELIETE APARECIDA KOVALHUK,2,4
27,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CIBERNÉTICOS,JOSÉ BARRETO DE MACEDO JUNIOR,4,8
28,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA A VIDA,ADRIANO PEREIRA ADURA,4,8
29,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA AS MULHERES - DM,NIELLY LUIZ MENDES,3,6
