ID,DISCIPLINAS,PROFESSORES,QUANT,SOLICITAR
77,AQUISIÇÕES NA ADMINISTRAÇÃO PÚBLICA E GAF,ALECIANE ROBERTA DE OLIVEIRA,2,4
78,ATENDIMENTO PRÉ-HOSPITALAR EM COMBATE - MARC 1,SERGIO FABRICIO MANIGLIA,3,6
79,"ATIVIDADES DE INTELIGÊNCIA, CONTRAINTELIGÊNCIA, FERRAMENTAS E OPERAÇÕES DE INTELIGÊNCIA",LUIZ RAFAEL JUNTA FERRO,5,10
80,ATOS NORMATIVOS,THIAGO NOBREGA DE ALMEIDA,2,4
81,CIÊNCIA PAPILOSCÓPICA - NOÇÕES GERAIS,CARLOS EDUARDO DE ARRUDA SILVEIRA,2,4
82,CIÊNCIAS FORENSES: NOÇÕES BÁSICAS EM PERÍCIA,IRNO FRANCISCO AZZOLINI,5,10
83,DEVERES DO SERVIDOR POLICIAL CIVIL - CÓDIGO DISCIPLINAR E PAD,ALEXANDRE RORATO,4,8
84,ELEMENTOS DE DIREITO CONSTITUCIONAL E ADMINISTRATIVO NA ATIVIDADE POLICIAL,LUIS GUSTAVO DE SOUZA TIMOSSI,2,4
85,ELEMENTOS DE DIREITO PENAL E PROCESSUAL PENAL APLICADO À ATIVIDADE POLICIAL,SILAS ROQUE DOS SANTOS,2,4
86,ESTRUTURA ORGANIZACIONAL DA PCPR,RAFAEL BACELAR DE SOUZA,2,4
87,FISCALIZAÇÃO E GESTÃO DE CONTRATOS NA PCPR,RAFAEL BACELAR DE SOUZA,2,4
88,HISTÓRIA DA PCPR,ELTER TAETS GARCIA,1,2
89,HISTÓRIA DO PARANÁ,,1,2
90,"LEI DE ABUSO DE AUTORIDADE E VIOLÊNCIA ESTRUTURAL, INSTITUCIONAL, INTERPESSOAL",RODRIGO OLIVEIRA SIQUEIRA,1,2
91,LEI ORGANICA DA POLÍCIA CIVIL,RENAN BARBOSA LOPES FERREIRA,2,4
92,MEDIDAS CAUTELARES NO INQUÉRITO POLICIAL,ANNA KARYNE TURBAY PALODETTO,3,6
93,NOÇÕES BÁSICAS DE APREENSÃO E EXTRAÇÃO DE DISPOSITIVOS MÓVEIS,PAULO MURILO DIAZ BORGES,2,4
94,NOÇÕES DE EXTRAÇÃO DE DADOS - DVR,ADRIANO PEREIRA ADURA,2,4
95,NOÇÕES DE UTILIZAÇÃO DO I2 PARA INVESTIGAÇÃO POLICIAL,PAULO MURILO DIAZ BORGES,3,6
96,"NOÇÕES GERAIS EM PROCEDIMENTOS INVESTIGATÓRIOS POLICIAIS: IP, TCIP, AFAI, BOC.",ANNA KARYNE TURBAY PALODETTO,3,6
97,PLANEJAMENTO E GESTÃO DE UNIDADE POLICIAL,GETULIO DE MORAIS VARGAS,4,8
98,PROCESSO ADMINISTRATIVO DE APURAÇÃO DE RESPONSABILIDADE - PAAR,RAFAEL BACELAR DE SOUZA,2,4
99,TÉCNICAS DE COLETA E PRESERVAÇÃO DE EVIDÊNCIAS - CADEIA DE CUSTÓDIA,MARIANE MOREIRA POLETTO,3,6
100,TÉCNICAS DE ENTREVISTA,THAYSE CAMPOS MILESKI,2,4
101,TÉCNICAS DE ESCUTA ESPECIALIZADA E DEPOIMENTO ESPECIAL,GERSON FAUSTINO ROSA,1,2
102,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO A ATOS INFRACIONAIS - DA,ELIETE APARECIDA KOVALHUK,2,4
103,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CIBERNÉTICOS,JOSÉ BARRETO DE MACEDO JUNIOR,4,8
104,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA A VIDA,ADRIANO PEREIRA ADURA,4,8
105,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA AS MULHERES - DM,EMANUELLE CAROLINA BAGGIO,3,6
106,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA CRIANÇAS - NUCRIA,EMMANUEL GUSTAVO BENJOINO BRANDÃO,2,4
107,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA O PATRIMÔNIO,ANDRE FELTES,3,6
108,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES DE CORRUPÇÃO,TAÍS MENDONÇA DE MELO,3,6
109,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES DE TRÁFICO ILÍCITO DE DROGAS E ASSOCIAÇÃO,ANA CRISTINA FERREIRA SILVA,3,6
110,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES DE TRÂNSITO - DEDETRAN,EDGAR DIAS SANTANA,1,2
111,"TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES ENVOLVENDO VEÍCULOS FURTADOS, ROUBADOS OU ADULTERADOS",FELIPE BOFFO,2,4
112,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO QUALIFICADO A CRIMES DE ESTELIONATO,EMMANOEL ASCHIDAMINI DAVID,2,4
113,TÉCNICAS DE INVESTIGAÇÃO FINANCEIRA E DE ENFRENTAMENTO A LAVAGEM DE DINHEIRO,ALESSANDRO ROBERTO LUZ,3,6
114,TÉCNICAS DE REQUISIÇÃO DE DADOS NA INVESTIGAÇÃO,KELVIN JUNIOR BRESSAN,2,4
115,TEORIA GERAL DA INVESTIGAÇÃO CRIMINAL - CONCEITOS PRÁTICOS,ANNA KARYNE TURBAY PALODETTO,5,10
