ID,DISCIPLINAS,PROFESSORES,QUANT,SOLICITAR
40,ANÁLISE DOCUMENTAL E FRAUDE,ELENICE BUNICK DE BRITO,3,6
41,AQUISIÇÕES NA ADMINISTRAÇÃO PÚBLICA E GAF,ALECIANE ROBERTA DE OLIVEIRA,2,4
42,ATENDIMENTO PRÉ-HOSPITALAR EM COMBATE - MARC 1,CRISTIANO AUGUSTO QUINTAS DOS SANTOS,3,6
43,"ATIVIDADES DE INTELIGÊNCIA, CONTRAINTELIGÊNCIA, FERRAMENTAS E OPERAÇÕES DE INTELIGÊNCIA",RODRIGO MADEIRA AZAMBUJA,2,4
44,ATOS NORMATIVOS,THIAGO NOBREGA DE ALMEIDA,2,4
45,CIÊNCIA PAPILOSCÓPICA I (DECADATILAR),ANA FLÁVIA FRIZZO,8,16
46,CIÊNCIA PAPILOSCÓPICA II (QUIROSCOPIA),ANA FLÁVIA FRIZZO,4,8
47,CIÊNCIAS FORENSES: NOÇÕES BÁSICAS EM PERÍCIA,IRNO FRANCISCO AZZOLINI,5,10
48,COLETA DE IMPRESSÃO DIGITAL E IDENTIFICAÇÃO,DANILO LEMOS PEREIRA,4,8
49,COMPARAÇÃO E IDENTIFICAÇÃO FACIAL,ALLAN SIMAS DE ALBUQUERQUE,3,6
50,CONFRONTO PAPILOSCÓPICO I,BARBARA ERTHAL PEREIRA BRASSAC,5,10
51,CONFRONTO PAPILOSCÓPICO II,CARLA BONTORIN,4,8
52,DEVERES DO SERVIDOR POLICIAL CIVIL - CÓDIGO DISCIPLINAR E PAD,ALEXANDRE RORATO,4,8
53,ELEMENTOS DE DIREITO CONSTITUCIONAL E ADMINISTRATIVO NA ATIVIDADE POLICIAL,LUIS GUSTAVO DE SOUZA TIMOSSI,2,4
54,ELEMENTOS DE DIREITO PENAL E PROCESSUAL PENAL APLICADO À ATIVIDADE POLICIAL,SILAS ROQUE DOS SANTOS,2,4
55,ESTRUTURA ORGANIZACIONAL DA PCPR,RAFAEL BACELAR DE SOUZA,2,4
56,EXAME E LEVANTAMENTO TÉCNICO PERICIAL EM LOCAIS DE CRIME I,LUCIANA EBERHARDT ALVES RIOS,6,12
57,EXAME E LEVANTAMENTO TÉCNICO PERICIAL EM LOCAIS DE CRIME II,LUANA MEDINA,4,8
58,FISCALIZAÇÃO E GESTÃO DE CONTRATOS NA PCPR,RAFAEL BACELAR DE SOUZA,2,4
59,FOTOGRAFIA FORENSE,LUANA MEDINA,2,4
60,HISTÓRIA DA PCPR,ELTER TAETS GARCIA,1,2
61,HISTÓRIA DO PARANÁ,,1,2
62,LABORATÓRIO PAPILOSCÓPICO,GUILHERME PINNA SILVEIRA,6,12
63,"LEI DE ABUSO DE AUTORIDADE E VIOLÊNCIA ESTRUTURAL, INSTITUCIONAL, INTERPESSOAL",RODRIGO OLIVEIRA SIQUEIRA,1,2
64,LEI ORGANICA DA POLÍCIA CIVIL,RENAN BARBOSA LOPES FERREIRA,2,4
65,NECROPAPILOSCOPIA,ANA LIBERA SABADIN CAVALLI WEBER,4,8
66,"NOÇÕES GERAIS EM PROCEDIMENTOS INVESTIGATÓRIOS POLICIAIS: IP, TCIP, AFAI, BOC.",SILAS ROQUE DOS SANTOS,1,2
67,PLANEJAMENTO E GESTÃO DE UNIDADE DO INSTITUTO DE IDENTIFICAÇÃO,ANA FLÁVIA FRIZZO,2,4
68,REPRESENTAÇÃO FACIAL HUMANA,CARLA DAMASCENO,1,2
69,SISTEMA DE IDENTIFICAÇÃO CIVIL,ALINE GRAZIELE FRIZZO,3,6
70,SISTEMAS DE INFORMAÇÕES CRIMINAIS - NCI,JULIO CESAR NOGUEIRA,1,2
71,TÉCNICAS DE COLETA E PRESERVAÇÃO DE EVIDÊNCIAS - CADEIA DE CUSTÓDIA,MARIANE MOREIRA POLETTO,3,6
72,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CIBERNÉTICOS,JOSÉ BARRETO DE MACEDO JUNIOR,1,2
73,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA A VIDA,ADRIANO PEREIRA ADURA,1,2
74,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA AS MULHERES - DM,NIELLY LUIZ MENDES,1,2
75,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA O PATRIMÔNIO,ANDRE FELTES,1,2
76,TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES DE TRÂNSITO - DEDETRAN,EDGAR DIAS SANTANA,1,2
