name,n_questions
AQUISIÇÕES NA ADMINISTRAÇÃO PÚBLICA E GAF,2
ATENDIMENTO PRÉ-HOSPITALAR EM COMBATE - MARC 1,3
"ATIVIDADES DE INTELIGÊNCIA, CONTRAINTELIGÊNCIA, FERRAMENTAS E OPERAÇÕES DE INTELIGÊNCIA",5
ATOS NORMATIVOS,2
CIÊNCIA PAPILOSCÓPICA - NOÇÕES GERAIS,2
CIÊNCIAS FORENSES: NOÇÕES BÁSICAS EM PERÍCIA,5
DEVERES DO SERVIDOR POLICIAL CIVIL - CÓDIGO DISCIPLINAR E PAD,4
ELEMENTOS DE DIREITO CONSTITUCIONAL E ADMINISTRATIVO NA ATIVIDADE POLICIAL,2
ELEMENTOS DE DIREITO PENAL E PROCESSUAL PENAL APLICADO À ATIVIDADE POLICIAL,2
ESTRUTURA ORGANIZACIONAL DA PCPR,2
FISCALIZAÇÃO E GESTÃO DE CONTRATOS NA PCPR,2
HISTÓRIA DA PCPR,1
HISTÓRIA DO PARANÁ,1
"LEI DE ABUSO DE AUTORIDADE E VIOLÊNCIA ESTRUTURAL, INSTITUCIONAL, INTERPESSOAL",1
LEI ORGANICA DA POLÍCIA CIVIL,2
MEDIDAS CAUTELARES NO INQUÉRITO POLICIAL,3
NOÇÕES BÁSICAS DE APREENSÃO E EXTRAÇÃO DE DISPOSITIVOS MÓVEIS,2
NOÇÕES DE EXTRAÇÃO DE DADOS - DVR,2
NOÇÕES DE UTILIZAÇÃO DO I2 PARA INVESTIGAÇÃO POLICIAL,3
"NOÇÕES GERAIS EM PROCEDIMENTOS INVESTIGATÓRIOS POLICIAIS: IP, TCIP, AFAI, BOC.",3
PLANEJAMENTO E GESTÃO DE UNIDADE POLICIAL,4
PROCESSO ADMINISTRATIVO DE APURAÇÃO DE RESPONSABILIDADE - PAAR,2
TÉCNICAS DE COLETA E PRESERVAÇÃO DE EVIDÊNCIAS - CADEIA DE CUSTÓDIA,3
TÉCNICAS DE ENTREVISTA,2
TÉCNICAS DE ESCUTA ESPECIALIZADA E DEPOIMENTO ESPECIAL,1
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO A ATOS INFRACIONAIS - DA,2
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CIBERNÉTICOS,4
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA A VIDA,4
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA AS MULHERES - DM,3
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA CRIANÇAS - NUCRIA,2
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES CONTRA O PATRIMÔNIO,3
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES DE CORRUPÇÃO,3
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES DE TRÁFICO ILÍCITO DE DROGAS E ASSOCIAÇÃO,3
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES DE TRÂNSITO - DEDETRAN,1
"TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO AOS CRIMES ENVOLVENDO VEÍCULOS FURTADOS, ROUBADOS OU ADULTERADOS",2
TÉCNICAS DE INVESTIGAÇÃO E DE ENFRENTAMENTO QUALIFICADO A CRIMES DE ESTELIONATO,2
TÉCNICAS DE INVESTIGAÇÃO FINANCEIRA E DE ENFRENTAMENTO A LAVAGEM DE DINHEIRO,3
TÉCNICAS DE REQUISIÇÃO DE DADOS NA INVESTIGAÇÃO,2
TEORIA GERAL DA INVESTIGAÇÃO CRIMINAL - CONCEITOS PRÁTICOS,5
